2025-05-28 00:59:32 - Episode 128, Reward: -532.00, Variance: 2633.6322, Epsilon Home: 0.1548, Epsilon Away: 0.3500, Score: 28-11
2025-05-28 00:59:39 - Episode 129, Reward: -523.00, Variance: 2903.6767, Epsilon Home: 0.1545, Epsilon Away: 0.3500, Score: 25-34
2025-05-28 00:59:45 - Episode 130, Reward: -461.00, Variance: 3159.1067, Epsilon Home: 0.1542, Epsilon Away: 0.3500, Score: 29-15
2025-05-28 00:59:51 - Episode 131, Reward: -484.00, Variance: 3625.2622, Epsilon Home: 0.1539, Epsilon Away: 0.3500, Score: 13-15
2025-05-28 00:59:58 - Episode 132, Reward: -494.00, Variance: 3990.1333, Epsilon Home: 0.1536, Epsilon Away: 0.3500, Score: 35-19
2025-05-28 01:00:04 - Episode 133, Reward: -526.00, Variance: 3770.8933, Epsilon Home: 0.1532, Epsilon Away: 0.3500, Score: 36-9
2025-05-28 01:00:10 - Episode 134, Reward: -567.00, Variance: 3746.1789, Epsilon Home: 0.1529, Epsilon Away: 0.3500, Score: 26-45
2025-05-28 01:00:17 - Episode 135, Reward: -528.00, Variance: 3862.7656, Epsilon Home: 0.1526, Epsilon Away: 0.3500, Score: 25-12
2025-05-28 01:00:24 - Episode 136, Reward: -476.00, Variance: 4185.5122, Epsilon Home: 0.1523, Epsilon Away: 0.3500, Score: 48-12
2025-05-28 01:00:31 - Episode 137, Reward: -464.00, Variance: 4573.1389, Epsilon Home: 0.1520, Epsilon Away: 0.3500, Score: 21-22
2025-05-28 01:00:38 - Episode 138, Reward: -447.00, Variance: 4192.9167, Epsilon Home: 0.1517, Epsilon Away: 0.3500, Score: 54-10
2025-05-28 01:00:45 - Episode 139, Reward: -543.00, Variance: 4177.6456, Epsilon Home: 0.1514, Epsilon Away: 0.3500, Score: 37-15
2025-05-28 01:00:51 - Episode 140, Reward: -570.00, Variance: 3696.8900, Epsilon Home: 0.1511, Epsilon Away: 0.3500, Score: 20-7
2025-05-28 01:00:57 - Episode 141, Reward: -501.00, Variance: 3730.9156, Epsilon Home: 0.1508, Epsilon Away: 0.3500, Score: 73-17
2025-05-28 01:01:03 - Episode 142, Reward: -640.00, Variance: 3911.0267, Epsilon Home: 0.1505, Epsilon Away: 0.3500, Score: 59-8
2025-05-28 01:01:09 - Episode 143, Reward: -691.00, Variance: 4097.9067, Epsilon Home: 0.1502, Epsilon Away: 0.3500, Score: 9-7
2025-05-28 01:01:15 - Episode 144, Reward: -643.00, Variance: 3734.9567, Epsilon Home: 0.1499, Epsilon Away: 0.3500, Score: 39-0
2025-05-28 01:01:21 - Episode 145, Reward: -499.00, Variance: 3761.4489, Epsilon Home: 0.1496, Epsilon Away: 0.3500, Score: 41-14
2025-05-28 01:01:28 - Episode 146, Reward: -526.00, Variance: 3652.2000, Epsilon Home: 0.1493, Epsilon Away: 0.3500, Score: 47-6
2025-05-28 01:01:35 - Episode 147, Reward: -585.00, Variance: 3613.4500, Epsilon Home: 0.1490, Epsilon Away: 0.3500, Score: 94-8
2025-05-28 01:01:41 - Episode 148, Reward: -580.00, Variance: 3567.4489, Epsilon Home: 0.1487, Epsilon Away: 0.3500, Score: 61-20
2025-05-28 01:01:47 - Episode 149, Reward: -590.00, Variance: 3572.2622, Epsilon Home: 0.1484, Epsilon Away: 0.3500, Score: 33-21
2025-05-28 01:01:53 - Episode 150, Reward: -469.00, Variance: 3688.4889, Epsilon Home: 0.1481, Epsilon Away: 0.3500, Score: 50-22
